probIn scale
0.5958009 0.0005117052
0.606402 0.0005041446
0.6039319 0.0004989161
0.6034381 0.0004910109
0.5925637 0.0005002517
0.5925324 0.0004989718
0.5914978 0.0005022592
0.6025218 0.0005017716
0.6056764 0.00050649
0.6124238 0.0005010872
0.6054826 0.0005082052
0.593165 0.0005024249
0.5878327 0.0005055556
0.586513 0.0005138133
0.5972402 0.0005205665
0.5844031 0.0005241631
0.596674 0.0005240466
0.5925196 0.0005263052
0.59634 0.0005223897
0.5884033 0.0005293109
0.5832498 0.0005277306
0.5789587 0.0005157249
0.5885217 0.0005170423
0.5835251 0.0005159141
0.5933449 0.000518027
0.5862334 0.0005121229
0.5907409 0.0005184369
0.5905709 0.0005149408
0.5807365 0.0005277452
0.5985747 0.000527223
0.6059258 0.0005225446
0.6102258 0.0005265434
0.6021978 0.0005273532
0.6063713 0.0005265049
0.5970398 0.000522892
0.5885873 0.0005313522
0.5732795 0.0005183307
0.5733475 0.0005212314
0.5668064 0.0005214274
0.5734305 0.0005270275
0.5835529 0.0005246499
0.587293 0.0005206825
0.5953775 0.000526545
0.5939296 0.0005277539
0.5874693 0.0005153989
0.5950749 0.0005131881
0.5890522 0.0005045098
0.5984872 0.0005028204
0.5978229 0.000508535
0.5947116 0.0005025358
0.607014 0.00050256
0.5957229 0.0005076483
0.5988359 0.0005001958
0.5922045 0.0005041207
0.5870227 0.000503323
0.5855075 0.000499432
0.5889714 0.0004995452
0.5817755 0.0005003309
0.5779991 0.0004997909
0.5746877 0.0005037474
0.5642721 0.0005111973
0.5608422 0.0005107095
0.5551625 0.0005126911
0.55112 0.0005108025
0.5540908 0.0005065922
0.5504042 0.0005121684
0.550162 0.000515062
0.5435424 0.000513204
0.5390074 0.0005090406
0.5377402 0.000503042
0.5505519 0.0005026709
0.54254 0.0005137703
0.5489565 0.0005187024
0.541298 0.0005311218
0.5394844 0.0005321753
0.5409008 0.0005222839
0.5367798 0.0005321391
0.5451989 0.0005331761
0.55399 0.0005285741
0.5595668 0.0005252611
0.5514656 0.0005268712
0.549741 0.0005371842
0.549566 0.0005339826
0.5538071 0.0005350603
0.5538373 0.0005293243
0.5523631 0.0005277248
0.5553708 0.0005263739
0.5460986 0.0005331035
0.5518961 0.0005331
0.5605533 0.000539879
0.5640137 0.0005408476
