probIn varB
0.2422833 0.0004174777
0.2410822 0.0004241024
0.2305751 0.0004236465
0.2343553 0.0004236595
0.2401757 0.0004147463
0.2383203 0.0004128539
0.2391382 0.0004189871
0.2344434 0.0004188273
0.2330547 0.0004301697
0.2292292 0.0004361421
0.236937 0.0004386857
0.243056 0.0004346049
0.2331453 0.0004232718
0.2342717 0.0004257132
0.2372482 0.0004177555
0.2332107 0.0004118049
0.2281625 0.0004123169
0.2277538 0.0004133337
0.2285857 0.0004289162
0.2260781 0.0004368142
0.2214951 0.0004456783
0.2260211 0.0004403569
0.2216761 0.0004411876
0.2192982 0.0004373856
0.2140827 0.0004279765
0.214729 0.0004403486
0.2196589 0.0004255192
0.2124172 0.0004347413
0.212179 0.0004404492
0.2121718 0.0004295286
0.2097047 0.0004633988
0.2078983 0.0004489845
0.2114869 0.0004401468
0.2097283 0.0004318528
0.2074266 0.000431929
0.2111254 0.0004226364
0.2136919 0.0004131677
0.2125752 0.0004052569
0.2116153 0.0004099544
0.2189044 0.0004245975
0.2206897 0.0004312367
0.206655 0.0004396572
0.2040905 0.0004479974
0.214101 0.0004371627
0.2118879 0.000424085
0.2072713 0.0004264869
0.2145874 0.0004252757
0.2114185 0.0004480839
0.2000423 0.000464368
0.2032046 0.0004643575
0.2148073 0.0004780045
0.2201288 0.0004638863
0.2078808 0.0004714183
0.2184932 0.0004673162
0.2163605 0.0004515882
0.2166892 0.0004688423
0.208724 0.000472033
0.2187297 0.0004561056
0.2217424 0.0004412159
0.2253922 0.0004292594
0.2244538 0.0004274722
0.2289517 0.0004271302
0.2234779 0.0004235155
0.2227751 0.0004282176
0.223007 0.0004166135
0.2233483 0.0004189386
0.2282119 0.000420684
0.2277964 0.0004352286
0.2223711 0.0004391879
0.2281135 0.0004300385
0.2303044 0.0004185462
0.2263427 0.0004172716
0.2332375 0.0004105586
0.2226846 0.0004130933
0.2283006 0.0004104241
0.2291438 0.0004233202
0.2231071 0.0004225705
0.2321916 0.0004219423
0.2204636 0.0004216931
0.2322566 0.000416685
0.2305098 0.0004263235
0.2204249 0.0004321241
0.2184616 0.0004405804
0.2173372 0.0004508004
0.2090463 0.0004685923
0.2148672 0.0004459294
0.2107965 0.0004521209
0.2167047 0.0004369005
0.2106991 0.0004349318
0.2120488 0.0004313384
0.210564 0.000440836
0.2162844 0.0004420264
0.2088068 0.0004381529
0.217936 0.0004373708
0.2185894 0.0004388859
0.2154386 0.0004378375
0.2110663 0.000441493
0.2220471 0.000440289
0.219995 0.0004530283
0.2162785 0.0004368919
0.2287739 0.0004311298
0.2232378 0.0004413079
0.2182916 0.0004290198
0.2165343 0.0004321147
0.219195 0.0004263969
0.2222699 0.0004388458
0.220311 0.0004223311
0.2233875 0.0004241238
0.230286 0.0004121706
0.2338854 0.0004030769
0.2263748 0.0003956958
0.2324269 0.0004107317
